1000
271	730	
137	628	
269	716	
661	377	
26	1000	
350	570	
375	923	
61	788	
171	850	
309	354	
503	485	
86	1000	
470	491	
680	129	
357	427	
4	1000	
535	551	
653	154	
117	1000	
941	107	
309	929	
189	652	
89	874	
924	521	
146	600	
451	712	
75	885	
691	198	
156	734	
318	861	
256	493	
239	685	
141	1000	
607	220	
509	460	
400	324	
366	1000	
632	434	
129	700	
405	911	
83	819	
215	1000	
832	169	
508	348	
816	273	
669	551	
157	587	
774	742	
249	783	
996	324	
710	473	
257	501	
69	839	
354	604	
186	530	
670	472	
296	551	
899	27	
629	264	
575	338	
749	129	
785	116	
473	47	
405	423	
367	629	
273	796	
93	829	
819	193	
828	175	
414	486	
539	405	
83	824	
181	756	
605	505	
871	205	
391	715	
446	296	
290	442	
366	452	
238	677	
16	762	
958	51	
661	494	
553	435	
69	965	
366	609	
240	640	
966	170	
766	495	
258	647	
813	167	
321	671	
67	1000	
452	472	
924	261	
247	931	
262	629	
834	19	
849	345	
360	666	
66	1000	
413	390	
324	815	
359	173	
673	334	
144	975	
649	298	
794	268	
929	491	
187	789	
14	1000	
674	318	
171	1000	
266	595	
117	905	
833	15	
431	664	
612	351	
884	331	
437	474	
954	23	
153	844	
328	447	
3	886	
948	110	
858	399	
841	101	
368	894	
442	419	
359	677	
802	605	
499	547	
876	299	
253	885	
464	709	
659	528	
81	956	
267	826	
165	656	
388	711	
79	762	
574	202	
19	1000	
887	207	
778	283	
49	1000	
227	879	
152	1000	
75	1000	
612	424	
411	865	
197	979	
464	627	
538	563	
16	871	
455	908	
446	1000	
764	38	
703	190	
78	1000	
309	931	
188	833	
90	1000	
382	825	
614	332	
245	720	
931	177	
844	506	
565	672	
771	510	
564	326	
344	508	
594	621	
666	79	
966	273	
502	393	
62	871	
495	555	
863	302	
36	773	
252	986	
409	598	
355	507	
651	391	
511	586	
178	921	
289	874	
103	982	
789	613	
370	375	
973	419	
80	1000	
173	461	
105	605	
371	404	
463	166	
476	761	
955	27	
900	178	
932	209	
765	327	
701	234	
469	667	
17	1000	
530	271	
747	243	
45	1000	
760	398	
418	622	
664	367	
867	292	
660	98	
627	453	
14	831	
652	443	
220	1000	
531	59	
301	690	
326	568	
800	538	
367	1000	
521	449	
258	357	
180	989	
93	751	
57	1000	
347	655	
549	844	
745	26	
710	90	
370	239	
817	292	
865	110	
604	662	
673	363	
179	839	
470	523	
230	631	
845	292	
557	109	
249	424	
886	344	
973	226	
91	1000	
405	302	
534	300	
797	121	
138	855	
805	291	
340	728	
906	401	
152	822	
869	435	
550	318	
415	607	
645	427	
752	190	
441	377	
138	895	
998	143	
146	662	
793	562	
57	884	
291	739	
229	625	
740	328	
409	791	
417	127	
591	227	
355	503	
533	665	
209	722	
821	249	
486	692	
796	348	
485	467	
471	462	
10	1000	
547	53	
202	695	
333	731	
307	961	
861	1	
136	1000	
690	164	
573	396	
657	437	
187	460	
457	744	
363	660	
372	888	
368	908	
512	245	
716	484	
728	390	
194	420	
501	357	
449	795	
110	735	
213	1000	
583	109	
962	168	
892	171	
331	563	
876	458	
236	899	
36	622	
318	869	
806	419	
15	1000	
97	786	
175	724	
804	91	
258	907	
423	615	
270	918	
508	462	
477	206	
272	924	
845	29	
192	818	
570	660	
994	39	
742	669	
820	16	
712	27	
330	520	
188	546	
293	928	
427	416	
544	654	
888	27	
472	393	
257	787	
525	435	
410	1000	
79	794	
809	252	
95	1000	
562	582	
793	171	
162	796	
680	477	
667	103	
607	274	
179	956	
877	252	
153	754	
202	603	
335	639	
625	506	
348	156	
963	21	
755	185	
456	441	
382	807	
430	577	
56	1000	
274	574	
226	496	
694	524	
473	400	
490	828	
477	379	
925	69	
948	167	
579	458	
937	111	
986	63	
492	364	
409	742	
708	622	
300	547	
670	254	
120	1000	
457	261	
211	444	
134	782	
518	546	
552	189	
800	47	
839	8	
360	413	
318	884	
683	272	
644	484	
588	660	
357	608	
420	770	
128	943	
535	415	
827	289	
544	656	
431	457	
161	521	
164	677	
783	299	
137	726	
825	294	
732	619	
14	670	
504	704	
770	196	
461	195	
874	125	
940	464	
208	817	
395	703	
411	750	
463	453	
194	965	
84	903	
151	900	
458	286	
992	42	
761	279	
554	289	
297	943	
819	445	
647	226	
473	454	
261	837	
526	629	
390	411	
823	101	
888	109	
595	65	
196	993	
605	567	
60	1000	
100	1000	
754	509	
950	261	
387	856	
584	449	
500	549	
263	689	
740	811	
988	153	
507	899	
947	86	
438	400	
910	382	
445	108	
85	968	
615	301	
195	676	
100	576	
306	329	
234	780	
504	532	
8	709	
455	333	
145	961	
488	519	
155	860	
310	632	
389	519	
612	463	
874	19	
229	542	
684	455	
776	30	
380	485	
846	197	
256	857	
663	38	
699	355	
951	208	
698	340	
131	713	
118	620	
102	653	
349	612	
350	601	
476	297	
384	347	
113	842	
668	365	
417	371	
35	897	
508	456	
487	340	
767	332	
616	121	
338	406	
4	1000	
801	450	
256	570	
540	577	
534	734	
827	241	
310	596	
55	699	
3	899	
669	371	
976	180	
954	195	
420	553	
659	36	
602	441	
734	605	
59	792	
282	604	
325	933	
477	287	
738	136	
343	675	
113	865	
479	543	
417	735	
86	952	
659	338	
666	308	
524	819	
532	618	
88	1000	
196	733	
560	202	
492	638	
485	612	
954	139	
506	753	
325	1000	
238	790	
337	656	
619	25	
672	346	
888	261	
642	277	
647	591	
243	492	
663	391	
469	557	
16	1000	
435	735	
946	60	
482	447	
374	349	
655	208	
291	893	
877	259	
182	691	
604	601	
179	962	
172	686	
278	878	
769	167	
406	386	
353	540	
850	453	
610	1000	
839	197	
645	357	
634	116	
533	107	
16	866	
891	333	
878	307	
987	259	
681	686	
84	861	
70	699	
58	822	
68	1000	
150	833	
18	881	
257	637	
300	727	
592	547	
80	658	
848	196	
423	585	
256	487	
333	747	
130	1000	
512	317	
462	710	
202	795	
55	954	
